fold_id,split_name_val,mode,top_k,min_prob,threshold,constraints_ok_val,periods_val,cumulative_return_val,annualized_return_val,sharpe_val,max_drawdown_val,win_rate_val,avg_turnover_val,avg_holdings_val,split_name_test,constraints_ok_test,periods_test,cumulative_return_test,annualized_return_test,sharpe_test,max_drawdown_test,win_rate_test,avg_turnover_test,avg_holdings_test
1,val,topk,3,0.56,0.5,True,26,0.11833189759082652,0.2420882617790554,2.8526159357517917,-0.004412321908290662,0.19230769230769232,0.4743589743589744,0.5,test,,26,0.04060511398175626,0.08020991839946068,0.551064397446516,-0.06920102175170972,0.3076923076923077,0.5897435897435896,0.7307692307692307
1,val,topk,3,0.58,0.5,True,26,0.04394156935751692,0.08693376143453913,1.1936732470405569,-0.021336982389338233,0.07692307692307693,0.23076923076923078,0.15384615384615385,test,,26,0.07594184881483224,0.15244807194921317,2.061289289444164,-0.0030865987355157554,0.15384615384615385,0.38461538461538464,0.2692307692307692
1,val,topk,4,0.56,0.5,True,26,0.11704404054278994,0.23931703639525792,2.8559638672291916,-0.004412321908290551,0.19230769230769232,0.4743589743589744,0.5384615384615384,test,,26,0.03054166087774246,0.06005176294444525,0.4429390105029684,-0.0748595572607631,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,val,topk,4,0.58,0.5,True,26,0.04394156935751692,0.08693376143453913,1.1936732470405569,-0.021336982389338233,0.07692307692307693,0.23076923076923078,0.15384615384615385,test,,26,0.06482036438112271,0.1294685749115252,2.0352984102387603,-0.0030865987355158664,0.15384615384615385,0.38461538461538464,0.3076923076923077
2,val,topk,3,0.56,0.5,True,26,-0.07980167222934387,-0.14889026099753777,-1.6865276639971187,-0.10935668599577986,0.038461538461538464,0.28205128205128205,0.34615384615384615,test,,26,0.1203505611603286,0.24643807445219545,2.0609694882721863,-0.027675766557115566,0.3076923076923077,0.6153846153846154,1.2692307692307692
2,val,topk,3,0.58,0.5,True,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,,26,0.09786142452050717,0.19839453209092062,1.928969135472121,-0.027675766557115677,0.19230769230769232,0.28205128205128205,0.7307692307692307
2,val,topk,4,0.56,0.5,True,26,-0.07670549005360872,-0.14333028523766123,-1.6666824588658398,-0.10635994728137865,0.038461538461538464,0.28846153846153844,0.38461538461538464,test,,26,0.15105317259900541,0.313502961627262,2.1946311077042018,-0.02979453412825217,0.3076923076923077,0.6923076923076923,1.5
2,val,topk,4,0.58,0.5,True,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,,26,0.08296910107440358,0.16708345363587163,1.7843705342077736,-0.029794534128251948,0.19230769230769232,0.3269230769230769,0.8461538461538461
3,val,topk,3,0.56,0.5,True,26,-0.06927770165393643,-0.12992037297992143,-1.0263887656741464,-0.12288019708524844,0.15384615384615385,0.6923076923076923,1.1538461538461537,test,,26,-0.019069213833470045,-0.03663405038909695,-0.10879602834153244,-0.0848483486310061,0.2692307692307692,0.7948717948717949,0.8076923076923077
3,val,topk,3,0.58,0.5,True,26,0.027432711732530146,0.053861386305771974,0.9303061898587932,-0.012713855559973064,0.038461538461538464,0.23076923076923078,0.15384615384615385,test,,26,0.03414739439509118,0.06725329195135021,1.8249386461421293,-0.0010000000000000009,0.07692307692307693,0.15384615384615385,0.15384615384615385
