epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0001,0.6099441302992819,0.6026971682669624,0.5083665338645419,0.5136392734154988,topk,4,0.56,0.5,True,0.5135740281627913,0.03661751644918998,-0.06567982476647394,0.7884615384615384,1.259214670331769
2,0.0001,0.6009863243939587,0.6027446461102319,0.5567928730512249,0.5132116623947736,topk,3,0.56,0.5,True,0.8557135715543558,0.0673380584343013,-0.06567982476647394,0.8333333333333333,1.9843149223720875
3,0.0001,0.6011414835065826,0.602293310278938,0.5100154083204931,0.5108863693294098,topk,3,0.58,0.5,True,1.5287747055593588,0.0907693752549299,-0.033127153365708484,0.34615384615384615,3.5942053001887566
4,0.0001,0.5984570197178101,0.6018369356791179,0.5007874015748031,0.5122628213724543,topk,4,0.58,0.5,True,1.536363553950993,0.09116065676526364,-0.03312715336570826,0.34615384615384615,3.611542012035737
5,0.0001,0.5978157546990593,0.6027595625983344,0.5398230088495575,0.5146981799964071,topk,4,0.58,0.5,True,2.0984368576926116,0.15983588574923635,-0.033127153365708484,0.4230769230769231,4.840859051495488
6,0.0001,0.5963362051584936,0.6024742012932187,0.5394932935916542,0.5180115328463459,topk,4,0.58,0.5,True,2.0984368576926116,0.15983588574923635,-0.033127153365708484,0.4230769230769231,4.844172404345427
7,0.0001,0.5949019962155602,0.603823271062639,0.5770308123249299,0.5182746780898692,topk,4,0.58,0.5,True,2.1642726467126576,0.16729668728107705,-0.034116318459817996,0.46153846153846156,4.9737210383850305
8,0.0001,0.5954940517916664,0.6023170874232338,0.5475113122171945,0.5199674104736868,topk,4,0.58,0.5,True,2.1793608339035013,0.16849212018836757,-0.03312715336570837,0.4230769230769231,5.0252887032728095
9,0.0001,0.5930150737534219,0.6046338596041241,0.606425702811245,0.5225482580543952,topk,3,0.58,0.5,True,1.0326724398966698,0.09964148695558994,-0.08479444912882639,0.5000000000000001,2.5621761117589146
10,0.0001,0.5939475129270044,0.6023296178333343,0.5595854922279794,0.5246458292744023,topk,3,0.58,0.5,True,0.9478992914704681,0.08342317753536466,-0.08319473999727489,0.46153846153846156,2.37959845959376
11,5e-05,0.5938186840998794,0.6029792556687007,0.5763688760806917,0.5247824623816163,topk,3,0.58,0.5,True,1.0467087361384753,0.09971576172591745,-0.08413268314507127,0.5,2.5926314581104015
12,5e-05,0.5931145021703287,0.603308187401484,0.5874026893135174,0.5255896098112692,topk,3,0.58,0.5,True,1.043757615833643,0.09936074309565357,-0.08442835041806107,0.5128205128205129,2.5810570969006315
