fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
1,False,2010-03-31,2015-04-01,2015-04-02,2015-09-30,2015-10-01,2016-04-01,12001,1260,1260,11711,1260,1260,12,0.5663412765072027,8,6.2887887508460985,topk,4,0.56,0.5,True,topk,4,0.56,0.5,True,0.5562344737636739,0.6047819971870604,0.49061387911936294,0.5398860398860399,0.11704404054278994,2.8559638672291916,-0.004412321908290551,0.4743589743589744,0.03054166087774246,0.4429390105029684,-0.0748595572607631,0.5641025641025641,0.11704404054278994,2.8559638672291916,-0.004412321908290551,0.4743589743589744,0.03054166087774246,0.4429390105029684,-0.0748595572607631,0.5641025641025641
2,False,2010-03-31,2015-09-30,2015-10-01,2016-04-01,2016-04-04,2016-09-29,13261,1260,1260,12971,1260,1260,1,0.5159984484459729,4,0.4563599397080683,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.4563599397080683,0.3745644599303136,0.47230509355509354,0.6372721928277484,0.0,0.0,0.0,0.0,0.09786142452050717,1.928969135472121,-0.027675766557115677,0.28205128205128205,-0.07670549005360872,-1.6666824588658398,-0.10635994728137865,0.28846153846153844,0.15105317259900541,2.1946311077042018,-0.02979453412825217,0.6923076923076923
3,False,2010-03-31,2016-04-01,2016-04-04,2016-09-29,2016-09-30,2017-03-31,14521,1260,1260,14231,1260,1260,8,0.4774506237006237,4,2.272472345802189,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.4608406964656965,0.6481802426343155,0.5281712674578716,0.6611275964391692,0.027432711732530146,0.9303061898587932,-0.012713855559973064,0.23076923076923078,0.03414739439509118,1.8249386461421293,-0.0010000000000000009,0.15384615384615385,-0.059324940177082564,-0.9075091138581789,-0.10871009699673673,0.7051282051282052,-0.0402682376247715,-0.40368550474787346,-0.08388455306253206,0.8076923076923077
4,False,2010-03-31,2016-09-29,2016-09-30,2017-03-31,2017-04-03,2017-09-29,15781,1260,1260,15491,1260,1260,1,0.6178637466395647,2,5.569239472193357,topk,4,0.58,0.5,True,topk,4,0.56,0.5,False,0.6060664874434464,0.4619469026548672,0.5408622169406483,0.2991967871485944,0.5660217647706489,2.049699342988921,-0.0821990706669824,0.5961538461538461,-0.06608771938971403,-1.6479190130592845,-0.06911203606200844,0.23076923076923078,0.2918266244771466,1.576073639783838,-0.08388455306253229,0.7692307692307693,0.07646316678156273,0.8430543467292306,-0.05644229008721324,0.34615384615384615
5,False,2010-03-31,2017-03-31,2017-04-03,2017-09-29,2017-10-02,2018-04-03,17041,1260,1260,16751,1260,1260,8,0.5230514293259392,4,4.454459262185254,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.5137056842939196,0.5173745173745173,0.49075220751589654,0.5045045045045045,0.17353696202038238,1.871839826925285,-0.008313408907765885,0.3333333333333333,0.0396370653892022,0.6677065054537138,-0.05202161791573767,0.37179487179487186,0.1650840136749756,1.7881295952781584,-0.010906905655728605,0.3076923076923077,0.05655822541622291,0.9647144637942972,-0.041056046271576774,0.38461538461538464
6,False,2010-03-31,2017-09-29,2017-10-02,2018-04-03,2018-04-04,2018-10-01,18301,1260,1260,18011,1260,1260,5,0.5244257235037649,2,5.533162311911192,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.5165896129224636,0.5584691708008503,0.5919597720415689,0.7028985507246377,0.28063850333889384,2.3488016923093165,-0.001000000000000112,0.5384615384615384,0.2891346339948724,3.4286019472313836,-0.03391745430420412,0.8076923076923077,0.17854196467830907,1.8121340993981054,-0.07673531568936487,0.6666666666666667,0.2900165396151848,3.3854600541529782,-0.0379371135918225,1.3653846153846154
7,False,2010-03-31,2018-04-03,2018-04-04,2018-10-01,2018-10-02,2019-04-03,19561,1260,1260,19271,1260,1260,8,0.49724170298357356,2,2.177341801486888,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.42754810593362386,0.36301950805767597,0.48833264398324244,0.39649122807017545,0.04920513525882986,0.9122301740562637,-0.04209363562990465,0.38461538461538464,-0.2262042468318174,-0.8230059153128441,-0.3361503783514965,0.6153846153846154,-0.012083142066016461,-0.05786100764261861,-0.09978052601549914,0.5,-0.32807973021280734,-1.5394009576735481,-0.36187530579087446,0.6602564102564104
8,False,2010-03-31,2018-10-01,2018-10-02,2019-04-03,2019-04-04,2019-10-02,20821,1260,1260,20531,1260,1260,8,0.5145029955010391,2,6.195533389549412,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.4640933185482541,0.37142857142857144,0.49702569967536986,0.5081332300542216,0.19207291513385139,2.7601855819051893,-0.0010000000000000009,0.38461538461538464,0.04233201169935619,0.6152805056581819,-0.05774253169734278,0.5512820512820513,0.1609572146158358,2.259970460240876,-0.02094534721065955,0.6153846153846154,-0.0051645542425948765,-0.058769214895843525,-0.04813713213210069,0.6730769230769231
9,False,2010-03-31,2019-04-03,2019-04-04,2019-10-02,2019-10-03,2020-04-02,22081,1260,1260,21791,1260,1260,12,0.5255896098112692,8,5.0252887032728095,topk,4,0.58,0.5,True,topk,4,0.56,0.5,False,0.5199674104736868,0.5475113122171945,0.45052214865879464,0.5828877005347594,0.16849212018836757,2.1793608339035013,-0.03312715336570837,0.4230769230769231,-0.17023118123671777,-1.001689521247406,-0.21838309451007132,0.5,-0.037426568668285976,-0.18510041230768048,-0.11444574318408385,0.6730769230769231,0.1254601251676315,0.7663873528028271,-0.23325433094885806,0.7307692307692307
10,False,2010-03-31,2019-10-02,2019-10-03,2020-04-02,2020-04-03,2020-10-01,23341,1260,1260,23051,1260,1260,1,0.5635956589993857,3,5.734831024426524,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.5057702545901304,0.4355628058727569,0.5238714080950105,0.2851674641148325,0.16261073946915938,2.5211504146798065,-0.0073425695885473985,0.3076923076923077,-0.029727093219215295,-1.4418381860234841,-0.029727093219215295,0.07692307692307693,0.16261073946915938,2.5211504146798065,-0.0073425695885473985,0.3076923076923077,-0.029727093219215295,-1.4418381860234841,-0.029727093219215295,0.07692307692307693
