fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
1,False,2010-03-31,2015-04-01,2015-04-02,2015-09-30,2015-10-01,2016-04-01,12001,1260,1260,11711,1260,1260,9,0.5696450819734529,5,5.850544305397346,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5543643473207964,0.7044619422572179,0.44528949759326897,0.7069963177275118,0.21722986769258346,2.71374674159099,-0.04394368656215586,1.0,0.06559230612065137,0.6366358036126689,-0.18063160959973734,0.9230769230769231,0.18586504476830856,2.3915432400933714,-0.04394368656215597,0.9615384615384616,-0.0503886192666223,-0.4475275532673915,-0.16820436053982324,0.8846153846153846
2,False,2010-03-31,2015-09-30,2015-10-01,2016-04-01,2016-04-04,2016-09-29,13261,1260,1260,12971,1260,1260,1,0.5070236455792425,10,7.145009654665239,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.49118139384741144,0.6932409012131716,0.5611668399168399,0.7289623128549303,0.49902277215921265,3.096699765557865,-0.11762714405056529,1.1282051282051282,0.23080936675383623,2.5888492377266186,-0.0727309086973843,0.8333333333333333,0.020284957903938583,0.2888257507323901,-0.1360708910806836,0.6153846153846154,0.20501082212248245,2.313514104879839,-0.07620540175980905,0.8461538461538461
3,False,2010-03-31,2016-04-01,2016-04-04,2016-09-29,2016-09-30,2017-03-31,14521,1260,1260,14231,1260,1260,6,0.5817151767151767,2,7.493523415982107,topk,3,0.6,0.5,True,topk,2,0.6,0.5,False,0.5786200623700624,0.7390206966178698,0.4649741000590125,0.7372708757637473,0.21680888453649416,3.531663777196763,-0.03384129840344907,0.9871794871794872,0.14921198238102917,2.1638784813447267,-0.05250463840395936,0.7692307692307693,0.2303143391918243,3.207084226697419,-0.03144249323730308,1.1153846153846154,0.08183053114689831,1.2254394402820392,-0.08516686484775704,0.8076923076923077
4,False,2010-03-31,2016-09-29,2016-09-30,2017-03-31,2017-04-03,2017-09-29,15781,1260,1260,15491,1260,1260,2,0.48233689594124973,1,7.2008685837935715,topk,3,0.6,0.5,True,topk,2,0.6,0.5,False,0.4778834174808209,0.6895787139689579,0.5565181224004754,0.7247899159663865,0.15269620115716598,3.4514642020160555,-0.020073250664921383,0.8461538461538461,0.12381782500811211,3.0122863742365786,-0.03141021727204718,0.5897435897435898,0.15643781622162223,3.0500228023999907,-0.0327752713983287,0.9615384615384616,0.09275186056620388,2.509221947487097,-0.03596802824471623,0.6538461538461539
5,False,2010-03-31,2017-03-31,2017-04-03,2017-09-29,2017-10-02,2018-04-03,17041,1260,1260,16751,1260,1260,3,0.5360982372747078,3,6.957875482811547,topk,3,0.56,0.5,True,topk,2,0.6,0.5,False,0.5360982372747078,0.7124039517014269,0.5604336858732415,0.735070575461455,0.2410452497144573,3.2266494428012082,-0.02450266811076507,0.7435897435897435,0.3007824754213311,2.335290327538897,-0.10609421946759234,1.0128205128205128,0.05140039275650876,1.1015111232588082,-0.047073779788467496,0.6538461538461539,0.07686837456213391,1.2757905729594865,-0.042311325468093575,0.5
6,False,2010-03-31,2017-09-29,2017-10-02,2018-04-03,2018-04-04,2018-10-01,18301,1260,1260,18011,1260,1260,5,0.5678399789389418,6,6.588558757497045,topk,2,0.6,0.5,True,topk,2,0.6,0.5,True,0.5539649322634459,0.7546412443552434,0.569995306738183,0.7329261521377013,0.4230063973725309,2.859719672535368,-0.050505217906520405,0.7692307692307693,0.056926423110549296,0.6605103748305339,-0.13098104500790075,0.6538461538461539,0.4230063973725309,2.859719672535368,-0.050505217906520405,0.7692307692307693,0.056926423110549296,0.6605103748305339,-0.13098104500790075,0.6538461538461539
7,False,2010-03-31,2018-04-03,2018-04-04,2018-10-01,2018-10-02,2019-04-03,19561,1260,1260,19271,1260,1260,3,0.5687831042574589,3,6.35754144119369,topk,3,0.58,0.5,True,topk,2,0.6,0.5,False,0.5687831042574589,0.7560728744939272,0.5392967614078982,0.7019587083112758,0.23119441073647606,2.9495553449051095,-0.04879638463555225,0.9743589743589745,0.07316404254704989,0.6313682529425624,-0.15155674837441657,0.9358974358974359,0.12789187248555578,1.4604461213880362,-0.10600328340798626,0.7692307692307693,0.010995553965434945,0.21444420949487117,-0.21045443555984977,0.8076923076923077
8,False,2010-03-31,2018-10-01,2018-10-02,2019-04-03,2019-04-04,2019-10-02,20821,1260,1260,20531,1260,1260,10,0.6020386154466861,6,2.3897578790003973,topk,2,0.6,0.5,True,topk,2,0.6,0.5,True,0.5715558081762842,0.6929824561403509,0.5508743253740331,0.6934460887949261,0.146008112407791,1.0466571203011414,-0.1140660386076725,0.9230769230769231,-0.05360231466256449,-0.2500863653604265,-0.14916949943568836,0.9230769230769231,0.146008112407791,1.0466571203011414,-0.1140660386076725,0.9230769230769231,-0.05360231466256449,-0.2500863653604265,-0.14916949943568836,0.9230769230769231
9,False,2010-03-31,2019-04-03,2019-04-04,2019-10-02,2019-10-03,2020-04-02,22081,1260,1260,21791,1260,1260,8,0.5516662913473289,2,1.9796579460397827,topk,2,0.58,0.5,True,topk,2,0.6,0.5,False,0.5232111816486555,0.6956972524624158,0.4330926216640502,0.7720515361744301,0.10550916203599203,0.905456874816279,-0.11936023517645111,1.1538461538461537,0.2713116242903151,1.4970400766736358,-0.20362530217280417,1.1153846153846154,0.03946621496625102,0.4138563288869899,-0.14181722392554463,1.0384615384615385,0.2160138561538376,1.254912343220455,-0.20362530217280417,1.0384615384615385
10,False,2010-03-31,2019-10-02,2019-10-03,2020-04-02,2020-04-03,2020-10-01,23341,1260,1260,23051,1260,1260,1,0.4914913657770801,4,3.352158086860544,topk,2,0.54,0.5,False,topk,2,0.6,0.5,False,0.4616599549518804,0.7609903991915109,0.5323049621186268,0.6682897139379185,0.30969522227038193,1.4194708796535953,-0.2642476506264091,1.1923076923076923,0.422981301982593,3.1224272742862844,-0.03421166026065692,1.0769230769230769,0.21032525500372,1.0659660979412968,-0.2643766193127177,1.1538461538461537,0.38584257063932026,2.8613127721671554,-0.03421166026065703,0.9230769230769231
