epoch,lr,train_loss,val_loss,val_f1,val_auc,auc_gate_floor,auc_gate_pass,constraints_pass,strict_eligible,relaxed_eligible,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_drawdown_ok,val_strategy_turnover_ok,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0001,0.6065759769655164,0.6014481012454765,0.42680695333943275,0.5199714576975322,0.5,True,True,True,True,topk,4,0.58,0.5,True,True,True,-0.3674293125304668,-0.09844661908620611,-0.18609613213758325,0.3399339933993399,-1.0647507025655165
2,0.0001,0.6003826628060549,0.601328951417805,0.4631578947368421,0.5185173223572629,0.5,True,True,True,True,topk,4,0.56,0.5,True,True,True,-0.26147817999621537,-0.08952781357730122,-0.18168748197070428,0.4488448844884489,-0.8854748628095723
3,0.0001,0.5973744290165821,0.6010115698664013,0.43255196815568325,0.5157942760628378,0.5,True,True,True,True,topk,4,0.56,0.5,True,True,True,-0.08305655257908161,-0.030933461151192554,-0.1655834328375856,0.32508250825082513,-0.35847288011058187
4,0.0001,0.595454927515317,0.6016645411769311,0.44555314533622553,0.5107443733995718,0.5,True,True,True,True,topk,4,0.56,0.5,True,True,True,-0.11604624525794265,-0.043012700218870936,-0.1762565639982795,0.31353135313531355,-0.4484626264649465
5,0.0001,0.5953884542451164,0.6019323305217568,0.44964569465321025,0.50828121682429,0.5,True,True,True,True,topk,4,0.56,0.5,True,True,True,0.17412441594794134,0.02634883753097661,-0.12897572241550104,0.2953795379537954,0.2763069317029179
6,0.0001,0.5945985116860166,0.6028006006381706,0.48372660699755904,0.50610592948267,0.5,True,True,True,True,topk,3,0.58,0.5,True,True,True,0.12626063969878504,0.013934719261970319,-0.11270245477699303,0.15841584158415842,0.2152095186913094
7,0.0001,0.5940177995681862,0.6023003199619209,0.4483422459893048,0.5042995720253459,0.5,True,True,True,True,topk,3,0.58,0.5,True,True,True,0.19717008328019967,0.02479755763315783,-0.08447513646307525,0.1122112211221122,0.3977398043471104
8,0.0001,0.5932884522871671,0.6027585391512887,0.45469940728196445,0.5011827340494384,0.5,True,True,True,True,topk,4,0.56,0.5,True,True,True,0.25653839629784614,0.04626323221300299,-0.10944506886810301,0.3118811881188119,0.46643945641767126
9,0.0001,0.5929321747840411,0.6025348808237179,0.42606960762580354,0.49935799005400205,0.5,False,True,False,False,topk,3,0.56,0.5,True,True,True,0.34615076704719844,0.06545588383730894,-0.08975331198327585,0.27722772277227725,0.69846082652149
10,0.0001,0.592585525934894,0.6035972570468804,0.460772104607721,0.4979230406665456,0.5,False,True,False,False,topk,3,0.58,0.5,True,True,True,0.9136402897144977,0.1511561633147689,-0.056590671729294106,0.1848184818481848,2.04642458922685
11,0.0001,0.5929777851543372,0.604211686280911,0.4763835394283398,0.4969273696570319,0.5,False,True,False,False,topk,3,0.58,0.5,True,True,True,0.9221865907319804,0.18736593659441758,-0.06731789950117928,0.21122112211221125,2.124055549702301
12,0.0001,0.591776172296528,0.6042687539568918,0.46819860484201886,0.49677196343924834,0.5,False,True,False,False,topk,3,0.58,0.5,True,True,True,0.7262165610616841,0.15471058664432258,-0.0673178995011795,0.2376237623762376,1.6549236023427063
13,0.0001,0.5917237461109247,0.6041914277923797,0.45161290322580644,0.49554014532719726,0.5,False,True,False,False,topk,4,0.58,0.5,True,True,True,0.6524584747427383,0.12657679262666388,-0.07026318929647801,0.24257425742574257,1.4489121188972203
