model,epoch,lr,train_loss,val_loss,val_f1,val_auc,fold_idx,setting
transformer,1,0.0003,0.7021403768586376,0.6812227567036947,0.7315914489311164,0.499298920192544,1,no_fundamentals
transformer,2,0.0003,0.6731937360360638,0.6794224332880091,0.7294398092967819,0.5110654967547955,1,no_fundamentals
transformer,3,0.0003,0.6713726072080165,0.6786767756497418,0.7255139056831923,0.512901313982567,1,no_fundamentals
transformer,4,0.0003,0.6608070245917276,0.6794931795861986,0.7254901960784313,0.5154743491521994,1,no_fundamentals
transformer,5,0.0003,0.6586921123088414,0.679391113475517,0.7237163814180929,0.5215021899709449,1,no_fundamentals
transformer,6,0.0003,0.6516020953611448,0.6785515211246632,0.7265917602996255,0.5291923849723181,1,no_fundamentals
transformer,7,0.0003,0.6467755950171662,0.6791990099129853,0.7243107769423559,0.5381980080660316,1,no_fundamentals
transformer,8,0.0003,0.6368612108381245,0.6749762526264897,0.7265725288831836,0.555790051894361,1,no_fundamentals
transformer,9,0.0003,0.6357799784651931,0.6781746789261147,0.7071240105540897,0.5542577949955911,1,no_fundamentals
transformer,10,0.0003,0.6247669732106423,0.6731631905944259,0.713527851458886,0.5698405585510053,1,no_fundamentals
transformer,11,0.0003,0.6184059035068571,0.6746579558761031,0.7148387096774194,0.5709825235982018,1,no_fundamentals
transformer,12,0.0003,0.6081269285768205,0.6718059402924997,0.713903743315508,0.5883721938738634,1,no_fundamentals
transformer,1,0.0003,0.7005044317729393,0.7263584768449938,0.7052631578947368,0.47703703703703704,2,no_fundamentals
transformer,2,0.0003,0.6744680040800227,0.7183377481795646,0.704126426690079,0.4967901234567901,2,no_fundamentals
transformer,3,0.0003,0.6645863688987833,0.7141950504199879,0.7020335985853228,0.5208033904551318,2,no_fundamentals
transformer,4,0.0003,0.6552853988633316,0.7055354675731144,0.7012522361359571,0.5353602358577484,2,no_fundamentals
transformer,5,0.0003,0.6447710967640873,0.7069063653817048,0.7,0.5441385664271238,2,no_fundamentals
transformer,6,0.0003,0.6464624237400028,0.7009592510558463,0.6992619926199262,0.5475437626681408,2,no_fundamentals
transformer,7,0.0003,0.6306044265313785,0.7090025647266491,0.6971637694419031,0.5524525520545421,2,no_fundamentals
transformer,8,0.0003,0.6267785046083866,0.7051947661348291,0.6861030126336248,0.5537792518887046,2,no_fundamentals
transformer,9,0.0003,0.6239677602010811,0.7108986316500483,0.6951566951566952,0.5619089736502672,2,no_fundamentals
transformer,10,0.0003,0.614233490175609,0.7034775257110596,0.6901960784313725,0.5644518149990787,2,no_fundamentals
transformer,11,0.0003,0.6144880973017839,0.7068663874187985,0.6916256157635468,0.5677759351391192,2,no_fundamentals
transformer,12,0.0003,0.6067847435498591,0.7013415713567992,0.6869300911854104,0.5762962962962963,2,no_fundamentals
transformer,1,0.0003,0.6702304068733664,0.6955157716223535,0.6973684210526315,0.5244605108631827,3,no_fundamentals
transformer,2,0.0003,0.6613783490757982,0.6922063452132204,0.6942392909896603,0.5344520698766883,3,no_fundamentals
transformer,3,0.0003,0.6480020010170816,0.6933092622046775,0.6937269372693727,0.5389248752201996,3,no_fundamentals
transformer,4,0.0003,0.6412967531620956,0.691843764071769,0.6883018867924529,0.5454804022313564,3,no_fundamentals
transformer,5,0.0003,0.6357561628357703,0.6902154798203326,0.6833463643471462,0.5520038167938931,3,no_fundamentals
transformer,6,0.0003,0.6304052048370618,0.6901544824559638,0.6764466177669112,0.5516689298297123,3,no_fundamentals
transformer,7,0.0003,0.6253948255747306,0.6913831020923371,0.6721446179129006,0.5532195023487962,3,no_fundamentals
transformer,8,0.0003,0.6232100689110636,0.6896557501021852,0.6766169154228856,0.5624266001174398,3,no_fundamentals
transformer,9,0.0003,0.6173305097247372,0.6901547901173856,0.656896551724138,0.5654589327657076,3,no_fundamentals
transformer,10,0.0003,0.6144681419645037,0.6899795717381416,0.6332737030411449,0.5735558573106283,3,no_fundamentals
transformer,11,0.0003,0.6101496915857331,0.6930641093152634,0.6300630063006301,0.571468548150323,3,no_fundamentals
transformer,12,0.0003,0.5970272380764745,0.6940320372581482,0.6259259259259259,0.580079271873165,3,no_fundamentals
transformer,1,0.0003,0.6448266906475802,0.7385410950734065,0.6878172588832487,0.5101177063567363,4,no_fundamentals
transformer,2,0.0003,0.6354541122366529,0.7434035292038551,0.6887332908975176,0.5227629862428842,4,no_fundamentals
