fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
1,False,2010-03-31,2015-04-01,2015-04-02,2015-09-30,2015-10-01,2016-04-01,12001,1260,1260,11711,1260,1260,3,0.5673308956560794,5,5.850546476275813,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5543668848057935,0.7044619422572179,0.44528819595398444,0.7069963177275118,0.2172304574587851,2.7137469200783975,-0.04394399131236648,1.0,0.06559241572728913,0.636636869936327,-0.1806313977141607,0.9230769230769231,0.18586512624333418,2.3915385946637446,-0.04394399131236637,0.9615384615384616,-0.050388615839650486,-0.44752695163037154,-0.1682038854643988,0.8846153846153846
2,False,2010-03-31,2015-09-30,2015-10-01,2016-04-01,2016-04-04,2016-09-29,13261,1260,1260,12971,1260,1260,2,0.5272420085856128,3,5.255568644495904,topk,3,0.56,0.5,True,topk,2,0.6,0.5,False,0.5125308813920251,0.7293506493506494,0.536039501039501,0.7374245472837023,0.26105221556697455,2.3815119003531287,-0.11915581318630741,1.051282051282051,0.07433666274182027,0.9678635355903118,-0.07810655556295354,0.8076923076923077,0.11205633446289665,1.1157977616325419,-0.10258453944212809,0.8076923076923077,0.16610159125228918,2.067035082404791,-0.0427017220442788,1.0384615384615385
3,False,2010-03-31,2016-04-01,2016-04-04,2016-09-29,2016-09-30,2017-03-31,14521,1260,1260,14231,1260,1260,4,0.5471491683991684,2,8.451479839771995,topk,2,0.58,0.5,True,topk,2,0.6,0.5,False,0.5336954261954262,0.7347145022738757,0.48802308045374077,0.7283950617283951,0.3265143038423812,3.9161675339230344,-0.026395059539751742,1.1153846153846154,0.11676748684534899,1.5506360167580773,-0.06321802271558163,1.1153846153846154,0.31591668326960476,3.7876277329965253,-0.026395059539751742,1.1153846153846154,0.06732314888167101,0.9340977079293424,-0.0721935896751088,0.9230769230769231
4,False,2010-03-31,2016-09-29,2016-09-30,2017-03-31,2017-04-03,2017-09-29,15781,1260,1260,15491,1260,1260,1,0.47585076388433545,3,7.4409989827367955,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.46915480952068717,0.7123436650353454,0.5387390242292203,0.7306079664570231,0.2821564704444526,3.4691217466569357,-0.04370381616594943,1.1923076923076923,0.03383808283237699,0.520537193215153,-0.055772506730004445,0.8846153846153846,0.13764363463696005,1.6503751132359714,-0.043703816165949316,0.6538461538461539,0.1112520513206221,1.8090116627303336,-0.041817818242380955,0.7307692307692307
5,False,2010-03-31,2017-03-31,2017-04-03,2017-09-29,2017-10-02,2018-04-03,17041,1260,1260,16751,1260,1260,5,0.5273466693074537,4,8.792376885067958,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.514367201426025,0.6823266219239373,0.5165331993735409,0.7138934651290502,0.2688256735325558,4.1438360995924,-0.020808420632403846,1.0769230769230769,0.31758749166510536,2.0934395170957174,-0.10609413597492645,0.9102564102564104,0.035560505136358556,1.0521970412232673,-0.026059220904477765,0.38461538461538464,-0.016546593809262045,-0.10507768724759252,-0.10480960533954153,0.4230769230769231
6,False,2010-03-31,2017-09-29,2017-10-02,2018-04-03,2018-04-04,2018-10-01,18301,1260,1260,18011,1260,1260,4,0.5524632573183148,1,7.481479291390069,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5355284472036341,0.7573011077542801,0.6062769024472008,0.7660847880299253,0.414239029720723,3.3528287908430876,-0.05003451668846992,1.2435897435897434,0.1482958864391446,2.295507617483071,-0.04739599452947907,1.1153846153846154,0.24567019089740372,2.2479137610748063,-0.04904540144120828,0.7307692307692307,0.12607898813243912,2.22128622793147,-0.0260540209192488,0.8461538461538461
7,False,2010-03-31,2018-04-03,2018-04-04,2018-10-01,2018-10-02,2019-04-03,19561,1260,1260,19271,1260,1260,1,0.5640710693932283,2,5.628659603241678,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5534991619175327,0.7650872817955111,0.5387080648885664,0.7041357370095441,0.21004690997764186,2.604326265634275,-0.05540866405755729,0.9230769230769231,-0.0007275558692247941,0.10412857518076925,-0.12498807097599729,0.9230769230769231,0.11228376087447911,1.3256388797208971,-0.08393908221138358,1.0,-0.00810624878661137,0.05512465458212001,-0.12498807097599729,0.8846153846153846
8,False,2010-03-31,2018-10-01,2018-10-02,2019-04-03,2019-04-04,2019-10-02,20821,1260,1260,20531,1260,1260,3,0.5629905275685058,2,1.2756907799694395,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5508956053297335,0.6918635170603675,0.5180140630890722,0.6947477899115966,0.06395699303660018,0.5790649078203643,-0.15117859409561962,0.9871794871794871,0.03235713091151049,0.38449534787836953,-0.10221725774348711,0.8333333333333334,-0.03472617833186453,-0.17971634590253724,-0.18750443688749885,1.2307692307692308,0.034910628418483025,0.38000778652644523,-0.12651197639223577,1.0384615384615385
9,False,2010-03-31,2019-04-03,2019-04-04,2019-10-02,2019-10-03,2020-04-02,22081,1260,1260,21791,1260,1260,4,0.537408373585278,1,1.9774469557329435,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.525053198353318,0.6891747052518755,0.46675858303187495,0.7663645518630412,0.10761228191206995,0.8856718538525448,-0.14633064520662442,0.9358974358974357,0.35245226937232044,1.7027598599887641,-0.21369386545492397,0.9615384615384616,0.026730269328581135,0.3204642519550552,-0.10736112334604009,0.9230769230769231,0.19924760189409296,1.1342650058014838,-0.19815885283661572,1.2692307692307692
10,False,2010-03-31,2019-10-02,2019-10-03,2020-04-02,2020-04-03,2020-10-01,23341,1260,1260,23051,1260,1260,1,0.46078219916729235,1,4.58287282357402,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.46078219916729235,0.775609756097561,0.48615248105931336,0.757700205338809,0.37459392371720823,1.9573216362508137,-0.22669754327782232,1.3076923076923077,0.452130804160255,3.2836205103421796,-0.06120303765087065,1.1153846153846154,0.28440510898400206,1.6100836890119707,-0.22669754327782232,1.2307692307692308,0.25398420792130416,2.6586393625215754,-0.06120303765087054,0.9230769230769231
