model,epoch,lr,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
transformer,1,0.0003,0.6885387206313329,0.7015888737585254,0.5225548902195609,0.5297259637714816,0.861404833836858,0.6560253091745758,0.4808306750129825
transformer,2,0.0003,0.682611609075126,0.7041911621293622,0.5255489021956088,0.5298129812981298,0.9093655589123867,0.6695398303906576,0.4771372192135806
transformer,3,0.00015,0.6800593366335206,0.7037896049950652,0.5169660678642715,0.5270655270655271,0.8383685800604229,0.6472303206997084,0.4765638789903584
transformer,4,0.00015,0.6777366081850056,0.705728487506836,0.49660678642714573,0.5173937051352844,0.7077039274924471,0.5977671451355662,0.4757115430366503
transformer,5,7.5e-05,0.6772785541643601,0.7074291501454488,0.5031936127744511,0.5206439885743963,0.7571752265861027,0.6170180027696569,0.4753970532934607
transformer,6,7.5e-05,0.6768090253707065,0.7093478149520661,0.5003992015968064,0.5192460844173082,0.7386706948640483,0.6098207326578332,0.4740852937113563
lstm,1,0.0003,0.6986562148852541,0.7053179104409056,0.5017964071856288,0.5193384223918575,0.7707703927492447,0.6205533596837944,0.4825366259839196
lstm,2,0.0003,0.6811429017836377,0.7127552283500245,0.5139720558882236,0.5244996549344375,0.8610271903323263,0.6518942101501072,0.4772731996541412
lstm,3,0.00015,0.6734362989887173,0.7213248648091467,0.5103792415169661,0.5246274311694873,0.7843655589123867,0.6287271076131375,0.47925191092090014
lstm,4,0.00015,0.6682057688546784,0.7235607483429823,0.5091816367265469,0.5227546352034673,0.8198640483383686,0.6384355241876195,0.47821562964459946
lstm,5,7.5e-05,0.663703454646521,0.7351833624754124,0.5097804391217565,0.5233009708737864,0.8141993957703928,0.6371158392434988,0.4765817858796504
lstm,6,7.5e-05,0.6602158517414329,0.7375224803974053,0.5081836327345309,0.5225490196078432,0.8051359516616314,0.633769322235434,0.4754448582925525
