split,feature,feature_group,cross_sectional_eligible,missing_rate,std,cs_ic_mean,cs_ic_std,cs_ic_ir,cs_ic_hit_rate,cs_ic_n_dates,cs_ic_eligible_dates,cs_ic_skipped_constant_dates,global_auc,global_auc_edge,global_auc_direction,spearman_with_return,pearson_with_return,top_bottom_spread,top_bottom_direction,ts_spearman_with_mean_return,ts_pearson_with_mean_return,ts_spearman_with_median_return,ts_auc_vs_date_positive_rate,ts_auc_edge_vs_date_positive_rate,ts_n_dates,train_cs_ic_mean_ref,train_auc_edge_ref,train_top_bottom_spread_ref,train_ts_spearman_ref,train_ts_auc_edge_ref,generalization_ic_gap,generalization_auc_gap,generalization_spread_gap,generalization_ts_gap,train_rank_score
train,atr_14,technical,True,0.0,9.445964322357002,-0.03906849651530503,0.4265837549475888,-0.09158458582208572,0.44782168186423504,2961,2961,0,0.4985177963745505,0.0014822036254494853,-1.0,-0.035457195586348085,-0.03689781682056311,-0.004049731129448477,-1.0,,,,,,0,-0.03906849651530503,0.0014822036254494853,-0.004049731129448477,,,0.0,0.0,0.0,,0.3501553344231043
train,macd_hist_pct,technical,True,0.0,0.005657822426126495,-0.03456602499155691,0.3808954340274141,-0.09074938133563737,0.46437014522120906,2961,2961,0,0.47947298159087415,0.020527018409125852,-1.0,-0.04892356323589355,-0.04127745683405964,-0.004197420622052366,-1.0,,,,,,0,-0.03456602499155691,0.020527018409125852,-0.004197420622052366,,,0.0,0.0,0.0,,0.3832333153366055
train,macd_hist_pct_cs_z,cross_sectional,True,0.0,0.9438429803927186,-0.03456602499155691,0.3808954340274141,-0.09074938133563737,0.46437014522120906,2961,2961,0,0.48871411059250713,0.011285889407492866,-1.0,-0.024237658354362594,-0.02513589861340242,-0.0020802948247529056,-1.0,,,,,,0,-0.03456602499155691,0.011285889407492866,-0.0020802948247529056,,,0.0,0.0,0.0,,0.3615753686373903
train,macd,technical,True,0.0,1.6519667093572175,-0.032443994146121806,0.35867262284928286,-0.09045573060019982,0.4667342114150625,2961,2961,0,0.4872818439933483,0.012718156006651715,-1.0,-0.057109751377183465,-0.0578567433272568,-0.004954036412150177,-1.0,,,,,,0,-0.032443994146121806,0.012718156006651715,-0.004954036412150177,,,0.0,0.0,0.0,,0.36356645477742533
train,ma10_ratio,technical,True,0.0,0.028863209494953034,-0.03129471001811427,0.3709490028844626,-0.08436391464802362,0.46403242147923,2961,2961,0,0.47434968951199624,0.025650310488003758,-1.0,-0.06211210271047928,-0.06203124010337789,-0.005834713181278203,-1.0,,,,,,0,-0.03129471001811427,0.025650310488003758,-0.005834713181278203,,,0.0,0.0,0.0,,0.38595303154188265
train,macd_hist,technical,True,0.0,0.5327115696739018,-0.031031694861482093,0.3605475183425173,-0.08606825254029964,0.4576156703816278,2961,2961,0,0.4804308707334355,0.01956912926656451,-1.0,-0.0465669898037966,-0.035365424150447605,-0.0031003358428667643,-1.0,,,,,,0,-0.031031694861482093,0.01956912926656451,-0.0031003358428667643,,,0.0,0.0,0.0,,0.3656916820726893
train,low,other,True,0.0,76.07189090786736,-0.030437608097182565,0.39171330856033326,-0.07770378854129344,0.4518743667679838,2961,2961,0,0.5038703794743682,0.0038703794743681907,1.0,-0.020416105914587757,-0.025221361691060974,-0.004157843730075789,-1.0,,,,,,0,-0.030437608097182565,0.0038703794743681907,-0.004157843730075789,,,0.0,0.0,0.0,,0.33122753221938966
train,high,other,True,0.0,77.61446873853811,-0.030417139991608076,0.391060977527493,-0.07778106673778168,0.4508611955420466,2961,2961,0,0.5038522179055539,0.0038522179055539008,1.0,-0.02005643551419524,-0.024824379093088392,-0.003919566615280659,-1.0,,,,,,0,-0.030417139991608076,0.0038522179055539008,-0.003919566615280659,,,0.0,0.0,0.0,,0.33026580347987633
train,open,other,True,0.0,76.8423292917837,-0.030135890463729827,0.391633988645933,-0.07694911917099966,0.45288753799392095,2961,2961,0,0.5039379873475764,0.003937987347576444,1.0,-0.02001435473107494,-0.024734618067476535,-0.0041021032577313625,-1.0,,,,,,0,-0.030135890463729827,0.003937987347576444,-0.0041021032577313625,,,0.0,0.0,0.0,,0.3308805699698999
train,close,other,True,0.0,72.4999962560753,-0.02899716516737793,0.38532222475931743,-0.0752543282067115,0.4545761567038163,2961,2961,0,0.5053231033462647,0.005323103346264735,1.0,-0.015867629440013225,-0.022000426503082034,-0.003032680727494402,-1.0,,,,,,0,-0.02899716516737793,0.005323103346264735,-0.003032680727494402,,,0.0,0.0,0.0,,0.329474801637813
train,atr_pct,technical,True,0.0,0.1356106828593469,-0.028646648859414814,0.4115207985729519,-0.06961166715936111,0.46808510638297873,2961,2961,0,0.49361633002755856,0.006383669972441441,-1.0,-0.02987638417305885,-0.036657031133428795,-0.0021197089067495397,-1.0,,,,,,0,-0.028646648859414814,0.006383669972441441,-0.0021197089067495397,,,0.0,0.0,0.0,,0.335929403074741
train,dc_trend,dc,True,0.0,0.9709567399382566,-0.026298428325765094,0.3515841863478452,-0.0747998042771649,0.4453551912568306,2562,2961,399,0.4852615346562574,0.014738465343742624,-1.0,-0.04943472112006054,-0.04617715356851996,-0.0037090849961620214,-1.0,,,,,,0,-0.026298428325765094,0.014738465343742624,-0.0037090849961620214,,,0.0,0.0,0.0,,0.3366134387874389
train,return_5d,technical,True,0.0,0.03897315558550666,-0.02512818151116023,0.3743967623195196,-0.06711644982045867,0.4687605538669368,2961,2961,0,0.4768283063782225,0.02317169362177751,-1.0,-0.05810240604909992,-0.055892997584565535,-0.005436080264187837,-1.0,,,,,,0,-0.02512818151116023,0.02317169362177751,-0.005436080264187837,,,0.0,0.0,0.0,,0.3642623291067859
train,ma20_ratio,technical,True,0.0,0.041517127218560615,-0.024734682181490684,0.37203273410748583,-0.06648523077096884,0.46943600135089497,2961,2961,0,0.4795383350585366,0.020461664941463398,-1.0,-0.05723978278510681,-0.05130083066363542,-0.003944348910809989,-1.0,,,,,,0,-0.024734682181490684,0.020461664941463398,-0.003944348910809989,,,0.0,0.0,0.0,,0.3557619004690613
train,macd_signal,technical,True,0.0,1.5342116321639476,-0.023804406783130186,0.3571417800830315,-0.06665254000132924,0.47619047619047616,2961,2961,0,0.490904314166494,0.009095685833506006,-1.0,-0.04758679038005295,-0.05001776917102982,-0.004650643389063956,-1.0,,,,,,0,-0.023804406783130186,0.009095685833506006,-0.004650643389063956,,,0.0,0.0,0.0,,0.3346757951952366
