feature_group,n_features,n_cross_sectional_eligible,mean_abs_cs_ic,mean_cs_ic_ir,mean_auc_edge,mean_abs_top_bottom_spread,mean_abs_ts_corr,mean_ts_auc_edge,mean_missing_rate,split
other,5,5,0.029395307205555925,-0.04880429633312628,0.004506718478347782,0.003680266030083073,,,0.0,train
technical,17,17,0.02212507101179002,-0.04913600919303236,0.013813620476281756,0.003855644275136877,,,0.0,train
cross_sectional,3,3,0.021470872180092037,-0.058046237531404345,0.0044748864987784924,0.0010590472932560527,,,0.0,train
dc,6,6,0.011003009134062809,-0.007599326483100504,0.004195740238530875,0.0013623337279895637,,,0.0,train
sentiment_proxy,4,0,,,0.005152283539850477,0.0008597374545785842,0.04372947308542399,0.008716568629278859,0.0,train
macro_proxy,5,0,,,0.010213014407245058,0.002822657202743213,0.04351315355908134,0.013581316652994257,0.0,train
benchmark_market,8,0,,,0.00850489007285346,0.002495457421164434,0.04164313892495959,0.007626582425982555,0.0,train
dc,6,6,0.029918113604751117,0.003958755505049538,0.008404353335328676,0.0015619904947735289,,,0.0,val
cross_sectional,3,3,0.026311014334966427,-0.065725863724673,0.011315342025849015,0.002857434876637787,,,0.0,val
other,5,5,0.018535794976965538,-0.030606967048165457,0.011981531601822405,0.009112532532066162,,,0.0,val
technical,17,17,0.016194952549550733,-0.014752248132249597,0.010385727750276245,0.004336649147598446,,,0.0,val
macro_proxy,5,0,,,0.033855852099326976,0.005859729119677667,0.07306502110119648,0.03299722390631482,0.0,val
benchmark_market,8,0,,,0.015690911742058937,0.004597058308018372,0.04468546433038631,0.022397212738121827,0.0,val
sentiment_proxy,4,0,,,0.007273274799123083,0.0062811642727810205,0.017164245810968256,0.01387847410574683,0.0,val
other,5,5,0.0900927566250577,-0.2122486902381487,0.032084709020924584,0.011215139834724917,,,0.0,test
technical,17,17,0.027322939419045462,-0.024602858599324654,0.007887150493352035,0.003968128607195565,,,0.0,test
cross_sectional,3,3,0.022912220799544736,-0.06418310790169621,0.006896999321689412,0.0011243063435866852,,,0.0,test
dc,6,6,0.019205904354202066,0.02605269957355616,0.005573186748212093,0.001676836305589096,,,0.0,test
macro_proxy,5,0,,,0.01739250444083822,0.004870230243483019,0.0622341078647358,0.039255778988911846,0.0,test
benchmark_market,8,0,,,0.007677713078161272,0.0023348970189091887,0.03514910278568803,0.015148311720854471,0.0,test
sentiment_proxy,4,0,,,0.0062032209398465155,0.001535868611276342,0.020577261348811944,0.010157865062958099,0.0,test
