split,feature,feature_group,cross_sectional_eligible,missing_rate,std,cs_ic_mean,cs_ic_std,cs_ic_ir,cs_ic_hit_rate,cs_ic_n_dates,cs_ic_eligible_dates,cs_ic_skipped_constant_dates,global_auc,global_auc_edge,global_auc_direction,spearman_with_return,pearson_with_return,top_bottom_spread,top_bottom_direction,ts_spearman_with_mean_return,ts_pearson_with_mean_return,ts_spearman_with_median_return,ts_auc_vs_date_positive_rate,ts_auc_edge_vs_date_positive_rate,ts_n_dates,train_cs_ic_mean_ref,train_auc_edge_ref,train_top_bottom_spread_ref,train_ts_spearman_ref,train_ts_auc_edge_ref,generalization_ic_gap,generalization_auc_gap,generalization_spread_gap,generalization_ts_gap,train_rank_score
train,ma10_ratio,technical,True,0.0,0.028863209494953034,-0.03129471001811427,0.3709490028844626,-0.08436391464802362,0.46403242147923,2961,2961,0,0.47434968951199624,0.025650310488003758,-1.0,-0.06211210271047928,-0.06203124010337789,-0.005834713181278203,-1.0,,,,,,0,-0.03129471001811427,0.025650310488003758,-0.005834713181278203,,,0.0,0.0,0.0,,0.38595303154188265
train,return_5d,technical,True,0.0,0.03897315558550666,-0.02512818151116023,0.3743967623195196,-0.06711644982045867,0.4687605538669368,2961,2961,0,0.4768283063782225,0.02317169362177751,-1.0,-0.05810240604909992,-0.055892997584565535,-0.005436080264187837,-1.0,,,,,,0,-0.02512818151116023,0.02317169362177751,-0.005436080264187837,,,0.0,0.0,0.0,,0.3642623291067859
train,rsi_14,technical,True,0.0,11.742633037596324,-0.019567508929211056,0.35516749756169724,-0.05509374890311274,0.4657210401891253,2961,2961,0,0.47911136328062337,0.02088863671937663,-1.0,-0.06822818353812651,-0.05727567259126389,-0.005530150865448594,-1.0,,,,,,0,-0.019567508929211056,0.02088863671937663,-0.005530150865448594,,,0.0,0.0,0.0,,0.341635546619122
train,interest_rate,macro_proxy,False,0.0,0.6712932463963991,,,,,0,0,0,0.4792966666709423,0.020703333329057716,-1.0,-0.052975827374398286,-0.06505002743702597,-0.007387465684550215,-1.0,-0.09021662933940537,-0.10072487164027055,-0.06999772493661593,0.4779280706987844,0.022071929301215598,2961,,0.020703333329057716,-0.007387465684550215,-0.09021662933940537,0.022071929301215598,,0.0,0.0,0.0,0.36776957399504556
train,macd_hist_pct,technical,True,0.0,0.005657822426126495,-0.03456602499155691,0.3808954340274141,-0.09074938133563737,0.46437014522120906,2961,2961,0,0.47947298159087415,0.020527018409125852,-1.0,-0.04892356323589355,-0.04127745683405964,-0.004197420622052366,-1.0,,,,,,0,-0.03456602499155691,0.020527018409125852,-0.004197420622052366,,,0.0,0.0,0.0,,0.3832333153366055
train,ma20_ratio,technical,True,0.0,0.041517127218560615,-0.024734682181490684,0.37203273410748583,-0.06648523077096884,0.46943600135089497,2961,2961,0,0.4795383350585366,0.020461664941463398,-1.0,-0.05723978278510681,-0.05130083066363542,-0.003944348910809989,-1.0,,,,,,0,-0.024734682181490684,0.020461664941463398,-0.003944348910809989,,,0.0,0.0,0.0,,0.3557619004690613
train,mkt_return_5d,benchmark_market,False,0.0,0.021904283307796885,,,,,0,0,0,0.48036448237702034,0.01963551762297966,-1.0,-0.05243897431518716,-0.05008813606949181,-0.006116641597616785,-1.0,-0.07385036951918204,-0.07776358970934097,-0.07839789733975988,0.47999408046834213,0.020005919531657868,2961,,0.01963551762297966,-0.006116641597616785,-0.07385036951918204,0.020005919531657868,,0.0,0.0,0.0,0.31400192193604903
train,macd_hist,technical,True,0.0,0.5327115696739018,-0.031031694861482093,0.3605475183425173,-0.08606825254029964,0.4576156703816278,2961,2961,0,0.4804308707334355,0.01956912926656451,-1.0,-0.0465669898037966,-0.035365424150447605,-0.0031003358428667643,-1.0,,,,,,0,-0.031031694861482093,0.01956912926656451,-0.0031003358428667643,,,0.0,0.0,0.0,,0.3656916820726893
train,ma60_ratio,technical,True,0.0,0.07305869851972215,-0.001726484705208111,0.36259927890948795,-0.004761412406556595,0.4907125970955758,2961,2961,0,0.4831473176674692,0.01685268233253079,-1.0,-0.055773204727982084,-0.043015920747955454,-0.004842057276162558,-1.0,,,,,,0,-0.001726484705208111,0.01685268233253079,-0.004842057276162558,,,0.0,0.0,0.0,,0.29150420324271764
train,dc_trend,dc,True,0.0,0.9709567399382566,-0.026298428325765094,0.3515841863478452,-0.0747998042771649,0.4453551912568306,2562,2961,399,0.4852615346562574,0.014738465343742624,-1.0,-0.04943472112006054,-0.04617715356851996,-0.0037090849961620214,-1.0,,,,,,0,-0.026298428325765094,0.014738465343742624,-0.0037090849961620214,,,0.0,0.0,0.0,,0.3366134387874389
