split,feature,feature_group,cross_sectional_eligible,missing_rate,std,cs_ic_mean,cs_ic_std,cs_ic_ir,cs_ic_hit_rate,cs_ic_n_dates,cs_ic_eligible_dates,cs_ic_skipped_constant_dates,global_auc,global_auc_edge,global_auc_direction,spearman_with_return,pearson_with_return,top_bottom_spread,top_bottom_direction,ts_spearman_with_mean_return,ts_pearson_with_mean_return,ts_spearman_with_median_return,ts_auc_vs_date_positive_rate,ts_auc_edge_vs_date_positive_rate,ts_n_dates,train_cs_ic_mean_ref,train_auc_edge_ref,train_top_bottom_spread_ref,train_ts_spearman_ref,train_ts_auc_edge_ref,generalization_ic_gap,generalization_auc_gap,generalization_spread_gap,generalization_ts_gap,train_rank_score
train,vix_level,sentiment_proxy,False,0.0,7.254371367051657,,,,,0,0,0,0.5060023669120431,0.006002366912043144,1.0,0.045438639433673066,0.056893480403283125,0.0033638079461322436,1.0,0.07778361038429149,0.08518018797018109,0.08443489531460824,0.5131087329405624,0.013108732940562362,2961,,0.006002366912043144,0.0033638079461322436,0.07778361038429149,0.013108732940562362,,0.0,0.0,0.0,0.30500693646767224
train,volume,other,True,0.0,200687670.57543796,0.026988732307881243,0.42390576265195845,0.06366682099115492,0.5349544072948328,2961,2961,0,0.49445009568202436,0.00554990431797564,-1.0,0.027115612674061065,0.018162516075192668,0.003189135819833151,1.0,,,,,,0,0.026988732307881243,0.00554990431797564,0.003189135819833151,,,0.0,0.0,0.0,,0.3643269129367611
train,volatility_20d,technical,True,0.0,0.009016924028194817,0.02661160746267129,0.3840426102966468,0.06929337200920395,0.5157041540020263,2961,2961,0,0.5041007879808156,0.00410078798081559,1.0,0.04686784976019328,0.04965171331476221,0.003009649057422522,1.0,,,,,,0,0.02661160746267129,0.00410078798081559,0.003009649057422522,,,0.0,0.0,0.0,,0.35040294893679197
train,hl_spread,technical,True,0.0,0.01440243256735849,0.004567969461586479,0.3615706402110095,0.012633684689997648,0.5042215467747383,2961,2961,0,0.4907629133807248,0.009237086619275192,-1.0,0.024476588518537016,0.03371522303012708,0.0027404165768994864,1.0,,,,,,0,0.004567969461586479,0.009237086619275192,0.0027404165768994864,,,0.0,0.0,0.0,,0.2883994798760282
train,credit_stress,macro_proxy,False,0.0,0.020557511231200105,,,,,0,0,0,0.4983909836332878,0.0016090163667121793,-1.0,0.02150132377259074,0.08318957787349222,0.0018377484914583238,1.0,0.04756549002060622,0.12707082672528788,0.03613164895307581,0.494689900440003,0.005310099559997006,2961,,0.0016090163667121793,0.0018377484914583238,0.04756549002060622,0.005310099559997006,,0.0,0.0,0.0,0.1748179929544034
train,dc_event_density_20,dc,True,0.0,1.986090433001107,0.011674262039731813,0.3582027883283811,0.03259120928179229,0.5075987841945289,2961,2961,0,0.4990831905964236,0.0009168094035764129,-1.0,0.030868852855466325,0.03733445539184216,0.0016795388931809194,1.0,,,,,,0,0.011674262039731813,0.0009168094035764129,0.0016795388931809194,,,0.0,0.0,0.0,,0.2931751053633841
train,dc_dist_extreme,dc,True,0.0,0.007038232574201616,0.010957965272974424,0.34253921626977696,0.0319903962889439,0.5135040336723956,2851,2961,110,0.505485238346832,0.005485238346832011,1.0,0.022941336576977417,0.014924116106108,0.0015745614457862954,1.0,,,,,,0,0.010957965272974424,0.005485238346832011,0.0015745614457862954,,,0.0,0.0,0.0,,0.30295823151746454
train,mkt_volatility_20d,benchmark_market,False,0.0,0.006018851007916533,,,,,0,0,0,0.5076275722427173,0.007627572242717262,1.0,0.0395865735096259,0.05150151234703954,0.0015131168972263255,1.0,0.06210260643507299,0.07560459713273489,0.07686049638753026,0.5141570027593407,0.014157002759340731,2961,,0.007627572242717262,0.0015131168972263255,0.06210260643507299,0.014157002759340731,,0.0,0.0,0.0,0.2542083983335263
train,dc_tmv,dc,True,0.0,0.04982581673347729,-0.013668600902643458,0.3512877982693928,-0.038909979139558355,0.4839581222559946,2961,2961,0,0.4974941456391848,0.002505854360815185,-1.0,-0.007729829573736227,0.0011336742987710059,0.000549836739483155,1.0,,,,,,0,-0.013668600902643458,0.002505854360815185,0.000549836739483155,,,0.0,0.0,0.0,,0.28882132766678276
train,return_21d_cs_z,cross_sectional,True,0.0,0.9457707818649844,-0.01027908261950815,0.3632751745617845,-0.028295582355462943,0.49544072948328266,2961,2961,0,0.4997359478918257,0.00026405210817431746,-1.0,-0.007802338058858625,0.002673863640910759,0.0002687503103196926,1.0,,,,,,0,-0.01027908261950815,0.00026405210817431746,0.0002687503103196926,,,0.0,0.0,0.0,,0.27948884228199394
train,volume_z_20,technical,True,0.0,1.0504741026226065,-0.006000225149161317,0.3478253909931116,-0.01725068182063841,0.48733535967578523,2961,2961,0,0.49702148327990975,0.002978516720090252,-1.0,0.0008020165818522681,0.005675957979910088,5.2456936878077925e-05,1.0,,,,,,0,-0.006000225149161317,0.002978516720090252,5.2456936878077925e-05,,,0.0,0.0,0.0,,0.26770407413087416
train,vix_z_60,sentiment_proxy,False,0.0,1.2602596126109868,,,,,0,0,0,0.5020160750387437,0.002016075038743681,1.0,0.01703971183604865,0.005705313832552269,4.730624078522899e-07,1.0,0.03323542568158771,0.007084475085143499,0.03565543883398845,0.4960632783951078,0.003936721604892224,2961,,0.002016075038743681,4.730624078522899e-07,0.03323542568158771,0.003936721604892224,,0.0,0.0,0.0,0.12461943209059621
train,sentiment_score,sentiment_proxy,False,0.0,0.46664051083214764,,,,,0,0,0,0.4979839249612563,0.002016075038743681,-1.0,-0.01703971183604865,-0.0014181974318899595,-4.730624078522899e-07,-1.0,-0.03323542568158771,-0.0003353357637718598,-0.03565543883398845,0.5039367216048922,0.003936721604892224,2961,,0.002016075038743681,-4.730624078522899e-07,-0.03323542568158771,0.003936721604892224,,0.0,0.0,0.0,0.12461943209059621
train,mkt_dc_event,benchmark_market,False,0.0,0.27997636183276003,,,,,0,0,0,0.4989165637899791,0.0010834362100208828,-1.0,-0.0019027479531711464,-0.004479662515976101,-5.090079993256419e-05,-1.0,0.0040730851481277095,-0.007227497974440491,-0.004026704261813111,0.4993371988962637,0.000662801103736288,2961,,0.0010834362100208828,-5.090079993256419e-05,0.0040730851481277095,0.000662801103736288,,0.0,0.0,0.0,0.015447605605026851
train,dc_event,dc,True,0.0,0.3841930109142302,0.002366247585967941,0.36281289869890093,0.006521950003579377,0.4856996935648621,1958,2961,1003,0.4993569769750954,0.0006430230249045987,-1.0,-0.0011497399897787144,-0.0040711750584537494,-6.584644216123172e-05,-1.0,,,,,,0,0.002366247585967941,0.0006430230249045987,-6.584644216123172e-05,,,0.0,0.0,0.0,,0.25133340525338593
